actor_loss,discrete_loss,frame,logits_entropy,offset_loss,step,total_time
4.78582763671875,1.593182921409607,0,2.0789589881896973,3.192644566297531,0.0,1.9627130031585693
4.400096621843848,1.5743171179294586,100,2.068180458545685,2.82491616345942,100.0,2.2836039066314697
4.386781555591243,1.5693716764450074,200,2.0643360686302183,2.818531773984432,200.0,2.603221893310547
4.337427868701444,1.5575253093242645,300,2.0586564350128174,2.778949413448572,300.0,2.9535539150238037
4.331216285724451,1.5508336901664734,400,2.052808701992035,2.77935104444623,400.0,3.2729909420013428
4.317682268595932,1.5439671874046326,500,2.0482075357437135,2.777270408347249,500.0,3.5793559551239014
4.333546690421529,1.5424481534957886,600,2.044519774913788,2.7919088769704103,600.0,3.8904459476470947
4.320628055251471,1.539659045934677,700,2.042762727737427,2.781517442315817,700.0,4.192684888839722
4.312955665116263,1.5383804774284362,800,2.0391121745109557,2.773111267015338,800.0,4.506589889526367
4.323243773809754,1.536342157125473,900,2.037665798664093,2.785993469879031,900.0,4.844329833984375
4.2779509643516915,1.5386728930473328,1000,2.0388958477973937,2.7383514307439327,1000.0,5.15948486328125
4.311797142028809,1.5312138974666596,1100,2.0332402896881105,2.7823087871074677,1100.0,5.46847677230835
4.329993689414298,1.5292158675193788,1200,2.0287022542953492,2.8026470467448235,1200.0,5.755804777145386
4.2965017970245665,1.5268984413146973,1300,2.0304139256477356,2.769000666216016,1300.0,6.0569748878479
4.314367728658242,1.52783740401268,1400,2.030631060600281,2.787551164627075,1400.0,6.363530874252319
4.314626674840946,1.5236790239810944,1500,2.0290792179107666,2.790362576022744,1500.0,6.677932977676392
4.2909467432758595,1.5266301393508912,1600,2.0281938672065736,2.7638206388801336,1600.0,6.9902849197387695
4.299068887635033,1.5287078368663787,1700,2.0310101914405823,2.7683227472007275,1700.0,7.299777030944824
4.291714351956207,1.525710929632187,1800,2.0249994683265684,2.7636581156402826,1800.0,7.603054046630859
4.289616509239273,1.5238702118396759,1900,2.0266685914993285,2.76526740193367,1900.0,7.914443016052246
4.304449381214558,1.5215305161476136,2000,2.0245667719841003,2.786165041849017,2000.0,10.129796981811523
4.288461248473365,1.5257183909416199,2100,2.02807963848114,2.763358322903514,2100.0,10.42932915687561
4.293920996165512,1.5254622149467467,2200,2.026866223812103,2.7686306163668633,2200.0,10.734602928161621
4.296911867538301,1.5243585050106048,2300,2.0264918637275695,2.7716450355947018,2300.0,11.041282892227173
4.293061010908373,1.5234455895423888,2400,2.0269030284881593,2.769240580499172,2400.0,11.357073068618774
4.282652666073035,1.528464788198471,2500,2.027420015335083,2.754704885184765,2500.0,11.671698808670044
4.275401528518979,1.5230050683021545,2600,2.0256473350524904,2.75367677398026,2600.0,11.972818851470947
4.301308263646494,1.524515665769577,2700,2.0265267372131346,2.7767489198595285,2700.0,12.284847974777222
4.27965764244004,1.5265449357032777,2800,2.0279655766487124,2.754625791683793,2800.0,12.583273887634277
4.270305343193583,1.518896266222,2900,2.0238989782333374,2.751038283109665,2900.0,12.887587070465088
4.3271034684511696,1.5228039455413818,3000,2.025685362815857,2.8060479406267405,3000.0,13.198054790496826
4.294084329416256,1.5222349846363068,3100,2.023232491016388,2.775984989479184,3100.0,13.51741886138916
4.287313333832391,1.5238850247859954,3200,2.0272338223457336,2.764851639047265,3200.0,13.827584981918335
4.298642852518818,1.524709838628769,3300,2.0245118975639342,2.7757904306054115,3300.0,14.123246908187866
4.27123759760715,1.5251461958885193,3400,2.0256645488739013,2.7467399444431067,3400.0,14.429292917251587
4.285805539329453,1.5274883544445037,3500,2.0279097533226014,2.758278014138341,3500.0,14.742351055145264
4.297738858968905,1.5236852324008943,3600,2.0283067512512205,2.774689109995961,3600.0,15.072404861450195
4.268703838386158,1.521373726129532,3700,2.025803165435791,2.7475144900381565,3700.0,15.417993783950806
4.310822378290762,1.5229300260543823,3800,2.028050711154938,2.7862229719758034,3800.0,15.732871770858765
4.290842684188692,1.5157108008861542,3900,2.0225970935821533,2.7762611266225576,3900.0,16.02635383605957
4.269651863834645,1.5203705906867981,4000,2.0215262150764466,2.7479226123541594,4000.0,18.189682722091675
4.249529375888334,1.5170804715156556,4100,2.0241286516189576,2.737322425469756,4100.0,18.492007732391357
4.26460609105554,1.5197913038730622,4200,2.021596312522888,2.7461626064032316,4200.0,18.79451584815979
4.280800512521574,1.5228242301940917,4300,2.025199818611145,2.7568276692181826,4300.0,19.10502600669861
4.310169878572521,1.5198053801059723,4400,2.0237371468544008,2.792111748829484,4400.0,19.403433799743652
4.274913230744919,1.5207149946689607,4500,2.023854739665985,2.7524427976459265,4500.0,19.71565580368042
4.28734043093011,1.5184243404865265,4600,2.0239577174186705,2.7700016871094704,4600.0,20.00397515296936
4.284492306189962,1.5229668998718262,4700,2.0236298513412474,2.760950682684779,4700.0,20.29577898979187
4.275436153506289,1.5222053360939025,4800,2.0241386318206787,2.7512452583760023,4800.0,20.620864868164062
4.286703492155169,1.5191072010993958,4900,2.0242786693572996,2.766025261953473,4900.0,20.928076028823853
4.289922874752838,1.5210976707935333,5000,2.021993530988693,2.7685241140425205,5000.0,21.234020948410034
4.2756671976334975,1.5201649236679078,5100,2.023590695858002,2.7566782236099243,5100.0,21.551827907562256
4.282682017524643,1.519041417837143,5200,2.020899946689606,2.762365022674203,5200.0,21.85822296142578
4.28944469914578,1.5178890061378478,5300,2.0221628832817076,2.7688289918005466,5300.0,22.147119998931885
4.27724028341841,1.5207970809936524,5400,2.0216476917266846,2.751380231231451,5400.0,22.439053058624268
