actor_loss,discrete_loss,frame,logits_entropy,offset_loss,step,total_time
1.6621911525726318,1.5867948532104492,0,2.078897714614868,0.07539629004895687,0.0,1.9344167709350586
1.22401889420972,1.1092912071943284,100,1.73453675866127,0.11634840228362009,100.0,2.3371169567108154
0.9645309017436339,0.924527394771576,200,1.5543600988388062,0.04059790965402499,200.0,2.7482388019561768
0.8503134610629318,0.7907540816068649,300,1.4448141086101531,0.054671008125296794,300.0,3.15775203704834
0.7738532347254233,0.7143211877346038,400,1.379817008972168,0.06023468456987757,400.0,3.5933549404144287
0.600367935282169,0.5421242642402649,500,1.243210119009018,0.05945666166371666,500.0,4.009662866592407
0.5670742342377654,0.47426326721906664,600,1.1505237102508545,0.09438643963949289,600.0,4.414387941360474
0.4368183662985811,0.39761649012565614,700,1.0058509635925292,0.03905880871752743,700.0,4.819720983505249
0.41648911397055827,0.37110878199338915,800,0.9572905844449997,0.04543739798828028,800.0,5.229346036911011
0.4029624078533437,0.3601815178990364,900,0.9293531632423401,0.041426376687013544,900.0,5.706393003463745
0.38754900109649887,0.34915535658597946,1000,0.8998353886604309,0.0383449441724224,1000.0,6.187115907669067
0.38201846964288466,0.34303352773189544,1100,0.8793274050951004,0.03898997609212529,1100.0,6.6709277629852295
0.40316678539361106,0.34738032311201095,1200,0.8935809195041656,0.05595908513350878,1200.0,7.141462087631226
0.37250060492222853,0.3358234217762947,1300,0.8665929019451142,0.0371208711003419,1300.0,7.600513935089111
0.3684808181063964,0.325709178596735,1400,0.8466369062662125,0.042423601225891616,1400.0,8.075961112976074
0.3860134998760601,0.3330142480134964,1500,0.8785906374454499,0.05322503678326029,1500.0,8.58410382270813
0.363067216507279,0.3218411433696747,1600,0.8461030846834183,0.04170006630010903,1600.0,9.042850971221924
0.36217958089148644,0.31667946666479113,1700,0.8348023873567582,0.04521561210276559,1700.0,9.515121936798096
0.3600516747130026,0.323544003367424,1800,0.8292407059669494,0.0362856041174382,1800.0,9.967552900314331
0.353443985528285,0.31021430402994155,1900,0.8181670355796814,0.04180481760704424,1900.0,10.456454753875732
0.3557049584860849,0.31566077888011934,2000,0.8227338635921478,0.039996981897274964,2000.0,12.650306940078735
0.36020296723535744,0.31495675891637803,2100,0.8260390514135361,0.04520679028064478,2100.0,13.123294830322266
0.3496385119339027,0.3078337277472019,2200,0.8133880323171616,0.04097868280950934,2200.0,13.607972145080566
0.3461129603409531,0.3071621334552765,2300,0.8139183235168457,0.038616498626652174,2300.0,14.09132170677185
0.33888861655008673,0.30142020076513293,2400,0.7999021327495575,0.037676032065064646,2400.0,14.56666898727417
0.3659553102927633,0.2997109720110893,2500,0.7959515702724457,0.05694704825873487,2500.0,15.03518795967102
0.41875243363994186,0.35664392083883284,2600,0.8833548706769944,0.0618773928435985,2600.0,15.50504183769226
0.3486504085583262,0.3138771307468414,2700,0.8290862882137299,0.03483299787330907,2700.0,15.990825891494751
0.3486242438897048,0.3140659964084625,2800,0.8208322823047638,0.034458756912499666,2800.0,16.38811182975769
0.33690421283245087,0.3003737498819828,2900,0.8112711131572723,0.03673827131569851,2900.0,16.874767780303955
0.3364966033708931,0.2995689822733402,3000,0.7993242555856704,0.03668884531361982,3000.0,17.376946926116943
0.34741910377351365,0.30440913811326026,3100,0.8049949496984482,0.043136891996255144,3100.0,17.83916687965393
0.346636434592823,0.3045201003551483,3200,0.8131223881244659,0.041747986717382446,3200.0,18.305651903152466
0.3365639976345667,0.29897554486989975,3300,0.7973133134841919,0.03806738954153843,3300.0,18.779381036758423
0.3291663356346659,0.29228803351521493,3400,0.7882249855995178,0.03726279280090239,3400.0,19.27933096885681
0.3320625998301081,0.29453537836670873,3500,0.7937032175064087,0.036926331886206754,3500.0,19.768982887268066
0.33075592452936836,0.29358340725302695,3600,0.7827275544404984,0.03775483279605396,3600.0,20.240458011627197
0.32644562880591593,0.29002350449562075,3700,0.784243785738945,0.035546646104194224,3700.0,20.66149401664734
0.3300210423398726,0.2936436966061592,3800,0.7844450521469116,0.036750344806932844,3800.0,21.13222599029541
0.323088016840491,0.28650917410850524,3900,0.7857154029607772,0.03677158246864565,3900.0,21.62042808532715
0.33430697038622187,0.2907620878517628,4000,0.7861434286832809,0.043956975772744045,4000.0,22.58404779434204
0.33585189622227507,0.29409206196665766,4100,0.7855138772726059,0.04197801985719707,4100.0,23.041481018066406
0.31596725382427177,0.2809005102515221,4200,0.7813818943500519,0.03507475960213924,4200.0,23.527700901031494
0.3212493036938186,0.28482865542173386,4300,0.7842635518312454,0.035894580199965276,4300.0,24.014359951019287
0.31904634538263377,0.2813351485133171,4400,0.7744994240999222,0.03804576826223638,4400.0,24.586151838302612
0.31822347021338965,0.2808969733119011,4500,0.7764675116539002,0.037526532032643445,4500.0,25.07718777656555
0.3139746757131992,0.2763176228106022,4600,0.7698732233047485,0.03772823660983704,4600.0,25.558692932128906
0.32326979079458973,0.2828529752790928,4700,0.774512340426445,0.04066060239711078,4700.0,26.083433866500854
0.30940752395308846,0.2734732450544834,4800,0.7654609209299088,0.03641746773791965,4800.0,26.563228845596313
0.3204021473037134,0.28103790417313573,4900,0.769041720032692,0.039412014026311226,4900.0,27.052125930786133
0.30420535714319435,0.2697400054335594,5000,0.77008085668087,0.03452843529521488,5000.0,27.521892786026
0.30642191696875165,0.2668315625190735,5100,0.7737375241518021,0.03997052414342761,5100.0,28.009557008743286
0.30702869461314514,0.2684914009273052,5200,0.7636539644002914,0.03803927042463329,5200.0,28.490478038787842
