actor_loss,frame,step,total_time
43.85691833496094,0,0.0,2.315833806991577
12.571262233328111,100,100.0,2.7073426246643066
0.4141253072879102,200,200.0,3.0349338054656982
-0.17970974636402462,300,300.0,3.3627336025238037
-0.4151061338068235,400,400.0,3.6945557594299316
-0.4935821580636029,500,500.0,3.9997777938842773
-0.6644187950261748,600,600.0,4.311681747436523
-0.7412978390803432,700,700.0,4.615104913711548
-0.812804519908853,800,800.0,4.917212724685669
-0.796444713184149,900,900.0,5.222939729690552
-0.8990746984387389,1000,1000.0,5.569889783859253
-0.8909775658999339,1100,1100.0,5.925821781158447
-0.9014933427961747,1200,1200.0,6.236138820648193
-0.9435020384221974,1300,1300.0,6.592456817626953
-0.9658303282195979,1400,1400.0,6.9251837730407715
-0.9516475330484976,1500,1500.0,7.248999834060669
-0.9677239305312091,1600,1600.0,7.568612813949585
-0.9563056873803092,1700,1700.0,7.88854193687439
-0.962330831454532,1800,1800.0,8.191789627075195
-0.9593512904968592,1900,1900.0,8.502195835113525
-0.9744395241879,2000,2000.0,8.974895715713501
-0.9709198330298509,2100,2100.0,9.340760707855225
-1.0034774847254895,2200,2200.0,9.726700782775879
-1.0206625939595817,2300,2300.0,10.103941679000854
-0.9764878065279214,2400,2400.0,10.486916780471802
-1.0066939114344002,2500,2500.0,10.895169734954834
-0.9759091309981771,2600,2600.0,11.217405796051025
-1.0155273218556207,2700,2700.0,11.529671907424927
-1.0081472042763586,2800,2800.0,11.826437711715698
-1.0024858506599275,2900,2900.0,12.140658855438232
-1.0141359632558162,3000,3000.0,12.438345909118652
-0.9927386458557431,3100,3100.0,12.743591785430908
-0.9859188637225935,3200,3200.0,13.07088589668274
-0.9628697769476635,3300,3300.0,13.372168779373169
-1.028601500362453,3400,3400.0,13.690393686294556
-1.0563792696425525,3500,3500.0,14.01746678352356
-1.0680563933778517,3600,3600.0,14.352237701416016
-1.0042232564180205,3700,3700.0,14.673601627349854
-1.077028736029521,3800,3800.0,14.975756645202637
-1.0694902800392396,3900,3900.0,15.305582761764526
-1.0566266651200775,4000,4000.0,15.729270696640015
-1.0453933757720608,4100,4100.0,16.038119792938232
-1.062237325871345,4200,4200.0,16.337836742401123
-1.0954778073447766,4300,4300.0,16.627522706985474
-1.0850137457399085,4400,4400.0,16.943626880645752
-1.0660631417638005,4500,4500.0,17.358213663101196
-1.083369145077644,4600,4600.0,17.750380754470825
-1.119057256986599,4700,4700.0,18.09630060195923
-1.1155085920697392,4800,4800.0,18.485204935073853
-1.113721229652367,4900,4900.0,18.842776775360107
-1.137798683773173,5000,5000.0,19.16354274749756
-1.175049192539536,5100,5100.0,19.48487091064453
-1.1687593566309107,5200,5200.0,19.80956482887268
-1.1819199887242648,5300,5300.0,20.105029821395874
-1.136180676741175,5400,5400.0,20.398741960525513
-1.217542267081761,5500,5500.0,20.695453882217407
-1.196250846480379,5600,5600.0,21.005262851715088
-1.1898744784959472,5700,5700.0,21.326417922973633
-1.2320671990366265,5800,5800.0,21.613841772079468
-1.2365617899611445,5900,5900.0,21.945040702819824
-1.2494031651185291,6000,6000.0,22.418925762176514
-1.2381044357719988,6100,6100.0,22.738053798675537
-1.2402732673257884,6200,6200.0,23.04721474647522
-1.3111055375325797,6300,6300.0,23.394744634628296
-1.2503036892060007,6400,6400.0,23.7342689037323
-1.2464492863947803,6500,6500.0,24.041223764419556
-1.2516934293331485,6600,6600.0,24.35085964202881
-1.2930224366707377,6700,6700.0,24.65846562385559
-1.3284144124182145,6800,6800.0,24.982849597930908
-1.3448676006628735,6900,6900.0,25.3038809299469
-1.3331987373899705,7000,7000.0,25.6036958694458
-1.32106748606899,7100,7100.0,25.904393911361694
-1.3683215037430867,7200,7200.0,26.20592164993286
-1.339781699794354,7300,7300.0,26.501871824264526
-1.3808003917779073,7400,7400.0,26.82321786880493
-1.4090601524504105,7500,7500.0,27.16784381866455
-1.357072136189678,7600,7600.0,27.473475694656372
-1.3149492598996304,7700,7700.0,27.79011869430542
-1.433331830076652,7800,7800.0,28.091761827468872
-1.4214099875771173,7900,7900.0,28.382863759994507
-1.4416593088962064,8000,8000.0,28.842307806015015
-1.4918281347444742,8100,8100.0,29.14331078529358
-1.4651626537341882,8200,8200.0,29.43415379524231
-1.524647025188597,8300,8300.0,29.737411737442017
-1.4734216102279059,8400,8400.0,30.0366268157959
-1.5167626909690328,8500,8500.0,30.362825870513916
-1.5623939946146295,8600,8600.0,30.684257745742798
-1.5306833203476253,8700,8700.0,30.995019674301147
-1.54976754613442,8800,8800.0,31.31966781616211
-1.5334799679199067,8900,8900.0,31.651918649673462
-1.5674854198304733,9000,9000.0,31.987393617630005
-1.6001057264828447,9100,9100.0,32.292155742645264
-1.56643676580769,9200,9200.0,32.60718488693237
-1.5724055590015826,9300,9300.0,32.938140869140625
-1.5814364941993562,9400,9400.0,33.258073806762695
-1.6013579645959457,9500,9500.0,33.561991930007935
-1.6172512574951248,9600,9600.0,33.871214628219604
-1.6161501325002992,9700,9700.0,34.172531843185425
-1.6112059685263302,9800,9800.0,34.50238585472107
-1.6311245826211307,9900,9900.0,34.82521176338196
-1.677853046077313,10000,10000.0,35.3131058216095
-1.6486103192414387,10100,10100.0,35.669806718826294
-1.6821035937507554,10200,10200.0,35.99309277534485
-1.6977455379939315,10300,10300.0,36.33274865150452
-1.6832311731753964,10400,10400.0,36.68611478805542
-1.6990543261612996,10500,10500.0,37.021960735321045
-1.7395308277394512,10600,10600.0,37.37549161911011
-1.7312046478290368,10700,10700.0,37.727651834487915
-1.744834300315026,10800,10800.0,38.0640766620636
-1.6946855429375525,10900,10900.0,38.393725872039795
-1.7455566165470842,11000,11000.0,38.72466993331909
-1.7232179901387432,11100,11100.0,39.097601652145386
-1.721345571008059,11200,11200.0,39.42916178703308
-1.7170824768519637,11300,11300.0,39.74337100982666
-1.784268049910517,11400,11400.0,40.06791877746582
-1.7744753337142491,11500,11500.0,40.41484785079956
-1.7840628299382653,11600,11600.0,40.77704977989197
-1.7701618866165085,11700,11700.0,41.14413571357727
-1.7543664674947756,11800,11800.0,41.514742612838745
-1.8528249889317125,11900,11900.0,41.906012773513794
-1.7807123885296359,12000,12000.0,42.37325072288513
-1.8095576444474777,12100,12100.0,42.681365966796875
-1.792088784793816,12200,12200.0,42.99317193031311
-1.793820031798712,12300,12300.0,43.30634593963623
-1.8154504641447917,12400,12400.0,43.625590562820435
-1.785457160213206,12500,12500.0,43.96841597557068
-1.7876920062716644,12600,12600.0,44.28258681297302
-1.8304401978407756,12700,12700.0,44.625717878341675
-1.8014746219804971,12800,12800.0,44.96988868713379
-1.8548241110131292,12900,12900.0,45.32182765007019
