actor_loss,frame,step,total_time
44.001434326171875,0,0.0,2.181105852127075
9.769040581023338,100,100.0,2.480552911758423
0.7076690298790979,200,200.0,2.8011889457702637
0.15338658093299606,300,300.0,3.096158981323242
-0.21494931261064393,400,400.0,3.385849952697754
-0.5069307824688973,500,500.0,3.6985318660736084
-0.657105491155445,600,600.0,4.016294956207275
-0.6877119730014613,700,700.0,4.327953815460205
-0.8191667249297151,800,800.0,4.634519100189209
-0.8738143240461255,900,900.0,4.947479724884033
-0.876396777311174,1000,1000.0,5.322768926620483
-0.9297398941056563,1100,1100.0,5.635758876800537
-1.0519969053197615,1200,1200.0,5.91933012008667
-1.0936768757234705,1300,1300.0,6.298167705535889
-1.1261889084730998,1400,1400.0,6.601664066314697
-1.157171910352046,1500,1500.0,6.916730880737305
-1.1177281926173974,1600,1600.0,7.22900390625
-1.1935075117219793,1700,1700.0,7.520077705383301
-1.169554594129619,1800,1800.0,7.826735734939575
-1.1980557736783926,1900,1900.0,8.148645877838135
-1.1719758036260557,2000,2000.0,8.628434896469116
-1.1590281509526885,2100,2100.0,8.952272891998291
-1.245532768787724,2200,2200.0,9.283490896224976
-1.209902294201426,2300,2300.0,9.61512303352356
-1.2164844932532546,2400,2400.0,9.925145864486694
-1.2137700095035062,2500,2500.0,10.247981786727905
-1.230661412276844,2600,2600.0,10.560763835906982
-1.2650645186405372,2700,2700.0,10.85712480545044
-1.206138797325663,2800,2800.0,11.1572847366333
-1.2496437849384723,2900,2900.0,11.460111856460571
-1.229154623971127,3000,3000.0,11.788111925125122
-1.2539229331040147,3100,3100.0,12.109805822372437
-1.16591344906552,3200,3200.0,12.406611919403076
-1.2084221409098936,3300,3300.0,12.721989870071411
-1.2204481493128407,3400,3400.0,13.005943059921265
-1.19547307550317,3500,3500.0,13.321691989898682
-1.2340085895934907,3600,3600.0,13.619724750518799
-1.2433818519705593,3700,3700.0,13.926496982574463
-1.2678521582395723,3800,3800.0,14.22614598274231
-1.3540480343422088,3900,3900.0,14.53400182723999
-1.2291155197832844,4000,4000.0,15.003321886062622
-1.2232616832940886,4100,4100.0,15.31243085861206
-1.264038575757848,4200,4200.0,15.619860887527466
-1.294326341388249,4300,4300.0,15.937963962554932
-1.3304834041264977,4400,4400.0,16.245786905288696
-1.1971622917911795,4500,4500.0,16.55220675468445
-1.2887733968177644,4600,4600.0,16.84856605529785
-1.2565991394590623,4700,4700.0,17.18544888496399
-1.290407391467897,4800,4800.0,17.518670797348022
-1.31188037548915,4900,4900.0,17.899946928024292
-1.2770923854100822,5000,5000.0,18.219298124313354
-1.3277801357873595,5100,5100.0,18.557230710983276
-1.2761773177892854,5200,5200.0,18.89145278930664
-1.2908853711468158,5300,5300.0,19.212997913360596
-1.336422825213706,5400,5400.0,19.505550861358643
-1.3040150881993888,5500,5500.0,19.796611785888672
-1.2929850722303484,5600,5600.0,20.099944829940796
-1.339349371371883,5700,5700.0,20.42644691467285
-1.331430736154613,5800,5800.0,20.744667768478394
-1.3170565307730495,5900,5900.0,21.072607040405273
-1.347400985731937,6000,6000.0,21.57159185409546
-1.3322830194293862,6100,6100.0,21.89691400527954
-1.3656454042042836,6200,6200.0,22.21813678741455
-1.36954925319936,6300,6300.0,22.525089979171753
-1.368557037693439,6400,6400.0,22.826366901397705
-1.341773270970524,6500,6500.0,23.15630292892456
-1.3809922626703093,6600,6600.0,23.479703903198242
-1.3799246160110625,6700,6700.0,23.807589769363403
-1.3749374351879158,6800,6800.0,24.147778034210205
-1.3334467399238359,6900,6900.0,24.463589906692505
-1.3737000209270138,7000,7000.0,24.7659330368042
-1.421097700548644,7100,7100.0,25.062675952911377
-1.4374610710852216,7200,7200.0,25.382359743118286
-1.4242584669944083,7300,7300.0,25.72460174560547
-1.4350457870134032,7400,7400.0,26.03173303604126
-1.3979665471775697,7500,7500.0,26.335075855255127
-1.4431032024987853,7600,7600.0,26.675254106521606
-1.4725364777121213,7700,7700.0,27.003500938415527
-1.470567532105021,7800,7800.0,27.35511302947998
-1.448529594605512,7900,7900.0,27.68096899986267
-1.442001971868005,8000,8000.0,28.165750980377197
-1.5252066862465132,8100,8100.0,28.50058078765869
-1.5136494778170444,8200,8200.0,28.799141883850098
-1.5046292744060554,8300,8300.0,29.111142873764038
-1.5423858844407714,8400,8400.0,29.40927004814148
-1.501817994188554,8500,8500.0,29.74842095375061
-1.5319096274895243,8600,8600.0,30.062537908554077
-1.5601352240779611,8700,8700.0,30.372697830200195
-1.5514782608145534,8800,8800.0,30.677390813827515
-1.5524018082288231,8900,8900.0,30.9784038066864
-1.5279870676522207,9000,9000.0,31.2746000289917
-1.5523117627247724,9100,9100.0,31.572261810302734
-1.5885413672664377,9200,9200.0,31.895864725112915
-1.5806106104709134,9300,9300.0,32.206631898880005
-1.6165156411652517,9400,9400.0,32.51899981498718
-1.650431215172947,9500,9500.0,32.82018685340881
-1.6248268160489525,9600,9600.0,33.13063192367554
-1.6026843721323674,9700,9700.0,33.45152688026428
-1.6978669260988142,9800,9800.0,33.76189589500427
-1.638408636102582,9900,9900.0,34.128767013549805
-1.6896957159042358,10000,10000.0,34.58853197097778
-1.6756425198942129,10100,10100.0,34.899558782577515
-1.722851592715424,10200,10200.0,35.18522596359253
-1.7474742360634379,10300,10300.0,35.501144886016846
-1.6501954770324254,10400,10400.0,35.808650970458984
-1.7228002170524974,10500,10500.0,36.14206099510193
-1.7192053428970941,10600,10600.0,36.46061897277832
-1.6816593337767194,10700,10700.0,36.771573066711426
-1.7279623735069047,10800,10800.0,37.07375383377075
